input lags; hidden; outputs; MSE; MAPE; train time 
([1, 24], [168, 192]);70;121;439.212049726;8.9463198148;156.770815134
([1, 24], [168, 192]);75;121;440.775926647;8.9842066105;195.48685503
([1, 24], [168, 192]);80;121;434.274443421;8.8895101677;184.726023197
([1, 24], [168, 192]);85;121;427.227628886;8.71969891174;240.436883926
([1, 24], [168, 192]);90;121;429.447590154;8.73325396138;202.327906132
([1, 24], [168, 192]);95;121;433.286841202;8.88047625662;197.155615091
([1, 24], [168, 192]);100;121;427.062972155;8.74373346545;229.112542152
([1, 24], [168, 192]);105;121;426.533239972;8.70247769856;240.178570032
([1, 24], [168, 192]);110;121;421.529341976;8.61361269095;274.639842033
([1, 24], [168, 192]);115;121;418.223520589;8.52329755294;290.434677839
([1, 24], [168, 192]);120;121;413.434934039;8.48603703542;297.018197775
([1, 24], [168, 192]);125;121;412.656921039;8.42634492538;316.347374916

