input lags; input Dimensions; hidden; outputs; net parameters; trainError; validationError; RMSE; MAPE; train time; iterations 
([1, 24], [168, 192]);220;70;121;24061;0.274;0.335;464.161;9.474;118.629;919
([1, 24], [168, 192]);220;75;121;25771;0.268;0.327;464.504;9.538;134.101;959
([1, 24], [168, 192]);220;80;121;27481;0.272;0.334;461.180;9.395;112.683;789
([1, 24], [168, 192]);220;85;121;29191;0.265;0.329;460.087;9.469;129.993;869
([1, 24], [168, 192]);220;90;121;30901;0.255;0.319;453.228;9.202;149.558;979
([1, 24], [168, 192]);220;95;121;32611;0.250;0.314;451.840;9.275;174.552;1089
([1, 24], [168, 192]);220;100;121;34321;0.243;0.311;449.587;9.180;188.357;1149
([1, 24], [168, 192]);220;105;121;36031;0.241;0.313;449.076;9.202;194.135;1159
([1, 24], [168, 192]);220;110;121;37741;0.239;0.311;449.401;9.186;199.582;1139
([1, 24], [168, 192]);220;115;121;39451;0.235;0.306;443.524;9.057;204.820;1089
([1, 24], [168, 192]);220;120;121;41161;0.230;0.301;443.047;9.023;225.666;1239
([1, 24], [168, 192]);220;125;121;42871;0.232;0.301;440.875;8.996;215.138;1079
([1, 48], [168, 192]);244;70;121;25741;0.254;0.318;459.335;9.355;159.320;1159
([1, 48], [168, 192]);244;75;121;27571;0.255;0.308;454.221;9.236;126.975;869
([1, 48], [168, 192]);244;80;121;29401;0.246;0.305;448.437;9.181;141.465;949
([1, 48], [168, 192]);244;85;121;31231;0.246;0.312;456.724;9.297;157.767;999
([1, 48], [168, 192]);244;90;121;33061;0.239;0.301;449.756;9.165;166.738;1049
([1, 48], [168, 192]);244;95;121;34891;0.233;0.295;442.099;8.972;176.755;1059
([1, 48], [168, 192]);244;100;121;36721;0.238;0.296;439.026;8.883;141.459;829
([1, 48], [168, 192]);244;105;121;38551;0.225;0.289;438.677;8.973;218.390;1199
([1, 24], [168, 192]);220;70;121;24061;0.078;0.144;306.656;0.033;38.097;2999
