input lags, hidden, outputs, MSE, MAPE, train time
([1, 24], 48, 168);50;121;495.89136164;10.2316079691;125.00612402
([1, 24], 48, 168);55;121;490.098392386;10.0874502497;127.241504908
([1, 24], 48, 168);60;121;490.773131352;10.1363875;148.930339813
([1, 24], 48, 168);65;121;486.954167668;9.99438137653;113.653158903
([1, 24], 48, 168);70;121;480.393757659;9.82348709877;178.310717106
([1, 24], 48, 168);75;121;480.471155203;9.90667006311;171.416285038
([1, 24], 48, 168);80;121;486.861083015;10.0234766729;181.959850073
(1, 24, 48);50;121;525.395344808;10.5827271997;147.65533185
(1, 24, 48);55;121;522.34310258;10.5516336655;193.59048295
(1, 24, 48);60;121;519.015253736;10.4697117837;217.249569178
(1, 24, 48);65;121;520.556574753;10.4862606864;152.491257906
(1, 24, 48);70;121;518.822960487;10.3964776214;143.288351059
(1, 24, 48);75;121;519.783445912;10.480798276;190.775911093
(1, 24, 48);80;121;513.296718009;10.3746802722;240.688051939
([1, 12],);50;121;519.314335444;10.5986183181;91.8370909691
([1, 12],);55;121;516.772653918;10.4396630232;115.350410938
([1, 12],);60;121;517.923595873;10.6258589934;98.9813981056
([1, 12],);65;121;514.312925238;10.3895976871;103.756829023
([1, 12],);70;121;516.276987674;10.4672771211;91.620249033
([1, 12],);75;121;511.113518632;10.3747330919;95.5022258759
([1, 12],);80;121;513.88232961;10.4854545221;116.967043877
([1, 24], [168, 192]);50;121;496.378378657;10.2151506599;135.980094194
([1, 24], [168, 192]);55;121;495.988335564;10.0773499502;83.1956892014
([1, 24], [168, 192]);60;121;487.609726218;9.95298465187;95.9541661739
([1, 24], [168, 192]);65;121;481.877623845;9.85068616017;94.1890370846
([1, 24], [168, 192]);70;121;482.915444374;9.88522335345;104.562431097
([1, 24], [168, 192]);75;121;478.027873503;9.79723312946;117.506412983
([1, 24], [168, 192]);80;121;478.951431168;9.73669505786;151.187288046
([1, 24], [48, 72]);50;121;492.380657345;10.2034059557;82.9701750278
([1, 24], [48, 72]);55;121;484.302328123;10.0435249112;108.549118996
([1, 24], [48, 72]);60;121;482.976276985;9.93727283607;109.37927413
([1, 24], [48, 72]);65;121;479.293722478;9.9051054568;129.607579947
([1, 24], [48, 72]);70;121;473.190858713;9.802287397;116.116572142
([1, 24], [48, 72]);75;121;476.105834015;9.87704903286;150.735445976
([1, 24], [48, 72]);80;121;468.346982513;9.64490945929;139.116334915
([1, 6], [23, 28]);50;121;512.543738473;10.4346553471;107.689713001
([1, 6], [23, 28]);55;121;509.246659655;10.4565002372;142.423507929
([1, 6], [23, 28]);60;121;510.334463921;10.4619936904;106.547292948
([1, 6], [23, 28]);65;121;509.244251669;10.3727357816;129.528646946
([1, 6], [23, 28]);70;121;504.536182353;10.3137807409;119.899895191
([1, 6], [23, 28]);75;121;506.734630579;10.3452383782;147.775053978
([1, 6], [23, 28]);80;121;506.964890096;10.3355693683;146.152683973
([1, 48],);50;121;500.991087711;10.2679026745;81.2282090187
([1, 48],);55;121;492.693309272;10.1441213045;104.793269873
([1, 48],);60;121;496.508638254;10.2432522261;113.049682856
([1, 48],);65;121;489.046976012;10.0277189829;129.905406952
([1, 48],);70;121;481.372223439;9.84342633603;133.020972013
([1, 48],);75;121;485.414773108;9.9472206964;125.195919037
([1, 48],);80;121;479.436630176;9.83828206527;156.887586117

([1, 48], [168, 192]);85;121;454.449442027;9.39280392258;137.380307913
([1, 48], [168, 192]);90;121;447.645421293;9.32236494763;197.230360985
([1, 48], [168, 192]);95;121;446.356300856;9.23385140933;177.157503843
([1, 24], 48, 168);85;121;474.399300827;9.69253742227;180.512071848
([1, 24], 48, 168);90;121;472.890730045;9.73639211924;168.417130947
([1, 24], 48, 168);95;121;476.241670152;9.70822638596;180.645572186
([1, 24], [168, 192]);85;121;472.756098013;9.79929041065;128.208163977
([1, 24], [168, 192]);90;121;462.91185195;9.50872633583;130.287149906
([1, 24], [168, 192]);95;121;456.125972025;9.45173640544;195.72755909
([1, 24], [48, 72]);85;121;464.080751501;9.72071103786;128.366631031
([1, 24], [48, 72]);90;121;463.800307611;9.64352980641;167.063539028
([1, 24], [48, 72]);95;121;457.771535358;9.44856863041;170.743021011
([1, 48],);85;121;484.828303186;9.92435698023;118.639491081
([1, 48],);90;121;474.995279645;9.80474022677;162.096041918
([1, 48],);95;121;476.791311353;9.8220683844;146.033288956

([1, 48], [168, 192]);100;121;458.716846746;9.2625204213;564.160000086
([1, 48], [168, 192]);105;121;450.273121469;9.12003569203;746.427000046

([1, 24], [168, 192]);100;121;466.774882615;9.45189420731;542.460000038
([1, 24], [168, 192]);105;121;456.286633383;9.33007303112;771.493000031
([1, 24], [168, 192]);110;121;457.366098676;9.29028687571;823.313000202

([1, 24], [168, 191]);100;2;176.879331217;4.19516820032;26.7009999752
([1, 24], [168, 191]);100;1;244.262204663;4.21723984967;12.0369999409

([1, 24], [168, 191]);70;121;464.264572139;9.51178503055;430.667999983
([1, 24], [168, 191]);75;121;459.78586124;9.39068279386;483.665999889
